area,year,gender,age_group,n_at_risk
ER5 Oulu University Hospital specific catchment area,2018,Total,13-17,44402
ER5 Oulu University Hospital specific catchment area,2019,Females,0-12,54617
ER5 Oulu University Hospital specific catchment area,2019,Females,13-17,21829
ER5 Oulu University Hospital specific catchment area,2019,Males,0-12,56724
ER5 Oulu University Hospital specific catchment area,2019,Males,13-17,23177
ER5 Oulu University Hospital specific catchment area,2019,Total,0-12,111341
ER5 Oulu University Hospital specific catchment area,2019,Total,13-17,45006
ER5 Oulu University Hospital specific catchment area,2020,Females,0-12,53515
ER5 Oulu University Hospital specific catchment area,2020,Females,13-17,22227
ER5 Oulu University Hospital specific catchment area,2020,Males,0-12,55553
ER5 Oulu University Hospital specific catchment area,2020,Males,13-17,23381
ER5 Oulu University Hospital specific catchment area,2020,Total,0-12,109068
ER5 Oulu University Hospital specific catchment area,2020,Total,13-17,45608
ER6 Åland,2016,Females,0-12,2037
ER6 Åland,2016,Females,13-17,739
ER6 Åland,2016,Males,0-12,2119
ER6 Åland,2016,Males,13-17,840
ER6 Åland,2016,Total,0-12,4156
ER6 Åland,2016,Total,13-17,1579
ER6 Åland,2017,Females,0-12,2047
ER6 Åland,2017,Females,13-17,743
ER6 Åland,2017,Males,0-12,2144
ER6 Åland,2017,Males,13-17,834
ER6 Åland,2017,Total,0-12,4191
ER6 Åland,2017,Total,13-17,1577
ER6 Åland,2018,Females,0-12,2082
ER6 Åland,2018,Females,13-17,782
ER6 Åland,2018,Males,0-12,2209
ER6 Åland,2018,Males,13-17,829
ER6 Åland,2018,Total,0-12,4291
ER6 Åland,2018,Total,13-17,1611
ER6 Åland,2019,Females,0-12,2076
ER6 Åland,2019,Females,13-17,798
ER6 Åland,2019,Males,0-12,2187
ER6 Åland,2019,Males,13-17,849
ER6 Åland,2019,Total,0-12,4263
ER6 Åland,2019,Total,13-17,1647
ER6 Åland,2020,Females,0-12,2091
ER6 Åland,2020,Females,13-17,815
ER6 Åland,2020,Males,0-12,2175
ER6 Åland,2020,Males,13-17,874
ER6 Åland,2020,Total,0-12,4266
ER6 Åland,2020,Total,13-17,1689
MA1 MAINLAND FINLAND,2016,Females,0-12,378007
MA1 MAINLAND FINLAND,2016,Females,13-17,142640
MA1 MAINLAND FINLAND,2016,Males,0-12,395328
MA1 MAINLAND FINLAND,2016,Males,13-17,150195
MA1 MAINLAND FINLAND,2016,Total,0-12,773335
MA1 MAINLAND FINLAND,2016,Total,13-17,292835
MA1 MAINLAND FINLAND,2017,Females,0-12,375087
MA1 MAINLAND FINLAND,2017,Females,13-17,142983
MA1 MAINLAND FINLAND,2017,Males,0-12,391963
MA1 MAINLAND FINLAND,2017,Males,13-17,150460
MA1 MAINLAND FINLAND,2017,Total,0-12,767050
MA1 MAINLAND FINLAND,2017,Total,13-17,293443
MA1 MAINLAND FINLAND,2018,Females,0-12,369958
MA1 MAINLAND FINLAND,2018,Females,13-17,144115
MA1 MAINLAND FINLAND,2018,Males,0-12,387442
MA1 MAINLAND FINLAND,2018,Males,13-17,150674
MA1 MAINLAND FINLAND,2018,Total,0-12,757400
MA1 MAINLAND FINLAND,2018,Total,13-17,294789
MA1 MAINLAND FINLAND,2019,Females,0-12,363862
MA1 MAINLAND FINLAND,2019,Females,13-17,145930
MA1 MAINLAND FINLAND,2019,Males,0-12,380809
MA1 MAINLAND FINLAND,2019,Males,13-17,152546
MA1 MAINLAND FINLAND,2019,Total,0-12,744671
MA1 MAINLAND FINLAND,2019,Total,13-17,298476
MA1 MAINLAND FINLAND,2020,Females,0-12,358146
MA1 MAINLAND FINLAND,2020,Females,13-17,148062
MA1 MAINLAND FINLAND,2020,Males,0-12,374719
MA1 MAINLAND FINLAND,2020,Males,13-17,154644
MA1 MAINLAND FINLAND,2020,Total,0-12,732865
MA1 MAINLAND FINLAND,2020,Total,13-17,302706
MA2 ÅLAND,2016,Females,0-12,2037
MA2 ÅLAND,2016,Females,13-17,739
MA2 ÅLAND,2016,Males,0-12,2119
MA2 ÅLAND,2016,Males,13-17,840
MA2 ÅLAND,2016,Total,0-12,4156
MA2 ÅLAND,2016,Total,13-17,1579
MA2 ÅLAND,2017,Females,0-12,2047
MA2 ÅLAND,2017,Females,13-17,743
MA2 ÅLAND,2017,Males,0-12,2144
MA2 ÅLAND,2017,Males,13-17,834
MA2 ÅLAND,2017,Total,0-12,4191
MA2 ÅLAND,2017,Total,13-17,1577
MA2 ÅLAND,2018,Females,0-12,2082
MA2 ÅLAND,2018,Females,13-17,782
MA2 ÅLAND,2018,Males,0-12,2209
MA2 ÅLAND,2018,Males,13-17,829
MA2 ÅLAND,2018,Total,0-12,4291
MA2 ÅLAND,2018,Total,13-17,1611
MA2 ÅLAND,2019,Females,0-12,2076
MA2 ÅLAND,2019,Females,13-17,798
MA2 ÅLAND,2019,Males,0-12,2187
MA2 ÅLAND,2019,Males,13-17,849
MA2 ÅLAND,2019,Total,0-12,4263
MA2 ÅLAND,2019,Total,13-17,1647
MA2 ÅLAND,2020,Females,0-12,2091
MA2 ÅLAND,2020,Females,13-17,815
MA2 ÅLAND,2020,Males,0-12,2175
MA2 ÅLAND,2020,Males,13-17,874
MA2 ÅLAND,2020,Total,0-12,4266
MA2 ÅLAND,2020,Total,13-17,1689
WHOLE COUNTRY,2016,Females,0-12,380044
WHOLE COUNTRY,2016,Females,13-17,143379
WHOLE COUNTRY,2016,Males,0-12,397447
WHOLE COUNTRY,2016,Males,13-17,151035
WHOLE COUNTRY,2016,Total,0-12,777491
